Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,158.75,-93.74,270.0,bottom
C2,0.1uF,C_0402_1005Metric,136.91,-111.69,180.0,bottom
C3,1uF,C_0402_1005Metric,154.81,-106.92,270.0,bottom
C4,1uF,C_0402_1005Metric,146.08,-113.5,270.0,bottom
C5,22pF,C_0603_1608Metric,126.7,-116.0,0.0,bottom
C6,22pF,C_0603_1608Metric,125.025,-100.1,180.0,bottom
C7,0.1uF,C_0402_1005Metric,134.18,-98.46,0.0,bottom
C8,10uF,C_0805_2012Metric,156.69,-107.0,270.0,bottom
C9,10uF,C_0805_2012Metric,144.29,-113.25,270.0,bottom
C12,1uF,C_0402_1005Metric,134.16,-99.98,0.0,bottom
C15,0.1uF,C_0402_1005Metric,130.08,-90.590001,180.0,bottom
D2,1N5819WS,D_SOD-323_HandSoldering,153.86,-98.49,0.0,bottom
D3,1N5819WS,D_SOD-323_HandSoldering,153.86,-101.5,0.0,bottom
Q1,SSM3J332R,SOT-23W,153.9,-89.5,270.0,bottom
Q2,BSS138,SOT-23,160.13,-90.4,90.0,bottom
Q3,SSM3J332R,SOT-23W,153.9,-93.75,0.0,bottom
Q12,S8050,SOT-23,132.26,-94.529999,180.0,bottom
R1,10k,R_0402_1005Metric,139.0,-89.96,0.0,bottom
R2,10k,R_0402_1005Metric,157.7,-91.59,90.0,bottom
R3,10k,R_0402_1005Metric,139.0,-91.11,0.0,bottom
R4,1k,R_0402_1005Metric,141.32,-80.04,0.0,bottom
R5,10k,R_0402_1005Metric,139.0,-92.24,0.0,bottom
R6,10k,R_0402_1005Metric,139.0,-93.37,0.0,bottom
R7,100k,R_0402_1005Metric,157.69,-93.74,270.0,bottom
R8,10k,R_0402_1005Metric,139.0,-94.5,0.0,bottom
R9,10k,R_0402_1005Metric,158.15,-95.31,180.0,bottom
R10,10k,R_0402_1005Metric,157.61,-88.9,90.0,bottom
R11,10k,R_0402_1005Metric,158.61,-107.0,270.0,bottom
R12,3.9k,R_0603_1608Metric,144.25,-109.58,90.0,bottom
R13,10k,R_0402_1005Metric,150.22,-102.44,270.0,bottom
R14,3.9k,R_0603_1608Metric,144.2,-106.17,270.0,bottom
R24,1k,R_0402_1005Metric,141.34,-81.18,0.0,bottom
R27,1k,R_0402_1005Metric,141.36,-82.33,0.0,bottom
R28,7.5k,R_0603_1608Metric,132.105,-91.92,0.0,bottom
R29,20k,R_0402_1005Metric,131.25,-96.87,0.0,bottom
R30,2.2k,R_0402_1005Metric,124.839999,-89.400002,270.0,bottom
R31,2.2k,R_0402_1005Metric,130.085,-89.450001,180.0,bottom
R32,120,R_0402_1005Metric,130.095,-88.290001,180.0,bottom
U2,MAX3485,SOP-8_3.9x4.9mm_P1.27mm,127.275,-94.910001,180.0,bottom
U3,AS5600,SOP-8_3.9x4.9mm_P1.27mm,139.0,-108.0,270.0,bottom
