Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,154.35,-131.349999,90.0,bottom
C3,0.1uF,C_0402_1005Metric,138.41,-121.499999,0.0,bottom
C4,0.1uF,C_0402_1005Metric,154.44,-117.979999,337.5,bottom
C5,0.1uF,C_0402_1005Metric,168.06,-108.539999,315.0,bottom
C6,0.1uF,C_0402_1005Metric,176.83,-94.619999,292.5,bottom
C7,1uF,C_0402_1005Metric,150.18,-134.329999,270.0,bottom
C8,1uF,C_0402_1005Metric,144.53,-129.17,0.0,bottom
C9,0.1uF,C_0402_1005Metric,179.7,-78.399999,270.0,bottom
C10,0.1uF,C_0402_1005Metric,176.14,-62.379999,247.5,bottom
C11,0.1uF,C_0402_1005Metric,166.74,-48.849999,225.0,bottom
C12,0.1uF,C_0402_1005Metric,152.813462,-39.923687,202.5,bottom
C15,0.1uF,C_0402_1005Metric,136.68,-37.089999,180.0,bottom
C16,0.1uF,C_0402_1005Metric,120.57,-40.629999,157.5,bottom
C17,0.1uF,C_0402_1005Metric,107.04,-50.249999,135.0,bottom
C18,0.1uF,C_0402_1005Metric,98.38,-64.089999,112.5,bottom
C19,0.1uF,C_0402_1005Metric,95.31,-80.039999,90.0,bottom
C20,0.1uF,C_0402_1005Metric,98.82,-96.359999,67.5,bottom
C21,0.1uF,C_0402_1005Metric,108.32,-109.769999,45.0,bottom
C22,0.1uF,C_0402_1005Metric,122.06,-118.529999,22.5,bottom
C23,0.1uF,C_0402_1005Metric,131.72,-144.199999,0.0,bottom
C25,0.1uF,C_0402_1005Metric,140.48,-148.209999,0.0,bottom
C26,1uF,C_0402_1005Metric,140.54,-149.789999,0.0,bottom
C29,0.1uF,C_0402_1005Metric,121.295,-153.859999,270.0,bottom
C30,0.1uF,C_0402_1005Metric,133.57,-128.599999,270.0,bottom
C31,0.1uF,C_0402_1005Metric,120.96,-128.495999,270.0,bottom
D1,1N5819WS,D_SOD-323_HandSoldering,151.77,-128.704999,180.0,bottom
