Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,98.534264,-58.0,270.0,bottom
C3,10uF,C_0805_2012Metric,86.4,-75.75,180.0,bottom
C4,1uF,C_0402_1005Metric,78.95,-75.8,0.0,bottom
C5,1uF,C_0402_1005Metric,72.95,-84.25,180.0,bottom
C6,1uF,C_0402_1005Metric,75.15,-77.13,90.0,bottom
C7,0.1uF,C_0402_1005Metric,69.07,-42.76,180.0,bottom
C10,0.1uF,C_0402_1005Metric,70.380887,-50.993712,135.0,bottom
C11,1uF,C_0402_1005Metric,69.256589,-49.869411,135.0,bottom
C20,10uF,C_0805_2012Metric,135.0,-80.75,180.0,bottom
C21,10uF,C_0805_2012Metric,123.0,-83.0,270.0,bottom
C22,0.1uF,C_0402_1005Metric,105.75,-76.45,0.0,bottom
C23,0.1uF,C_0402_1005Metric,103.927781,-93.75,0.0,bottom
C24,0.1uF,C_0402_1005Metric,105.877781,-88.75,270.0,bottom
C25,0.1uF,C_0402_1005Metric,104.98,-42.42,270.0,bottom
C26,0.1uF,C_0402_1005Metric,46.35,-77.2,270.0,bottom
C27,0.1uF,C_0402_1005Metric,126.4,-93.25,0.0,bottom
C28,0.1uF,C_0402_1005Metric,109.67,-90.32,0.0,bottom
C29,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,134.16,-91.13,90.0,bottom
C30,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,117.85,-88.27,90.0,bottom
C31,1uF,C_0402_1005Metric,145.02,-62.96,90.0,bottom
D1,1N5819WS,D_SOD-323_HandSoldering,105.75,-68.75,0.0,bottom
D7,1N5819WS,D_SOD-323_HandSoldering,82.3,-75.75,0.0,bottom
D8,1N5819WS,D_SOD-323_HandSoldering,75.65,-80.25,90.0,bottom
D9,1N5819WS,D_SOD-323_HandSoldering,66.87,-70.49,180.0,bottom
D15,1N5819WS,D_SOD-323_HandSoldering,95.69,-71.25,135.0,bottom
Q2,BSS138,SOT-23,98.55,-55.0625,90.0,bottom
Q4,S8050,SOT-23,74.82,-91.12,180.0,bottom
Q5,SSM3J332R,SOT-23W,70.96,-91.3,90.0,bottom
Q6,S8050,SOT-23,67.0625,-91.08,0.0,bottom
Q15,S8050,SOT-23,98.17,-39.31,180.0,bottom
Q16,S8050,SOT-23,56.4,-69.3,0.0,bottom
