Comment,Designator,Footprint,LCSC
1k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
RAYEX-L90,K1,TRV4-L-12V-Z-F,
Conn_01x02_Female,J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J12,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J3,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J6,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J1,Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical,
Conn_01x02_Female,J9,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J7,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J4,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Fuse,F1,Fuseholder_Blade_Mini_Keystone_3568,
Conn_01x02_Female,J10,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J11,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Conn_01x02_Female,J5,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
TJ60S04M3L,Q1,TO-252-2,
Conn_01x02_Female,J13,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
SW_SPST,SW1,DS-850K-S-ON,
MountingHole_Pad,H1,TestPoint_THTPad_D4.0mm_Drill2.0mm,
TJ60S04M3L,Q4,TO-252-2,
Conn_01x02_Female,J8,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Voltmeter_DC,MES1,SuperSmallVoltmeter_twoline,
MountingHole_Pad,H2,TestPoint_THTPad_D4.0mm_Drill2.0mm,
TJ60S04M3L,Q2,TO-252-2,
TJ60S04M3L,Q3,TO-252-2,
10000uF,C2,CP_Radial_D35.0mm_P10.00mm_SnapIn,
BSS138,Q5,SOT-23_Handsoldering,
CUS10F30,D2,D_SOD-323_HandSoldering,
10k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
510,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
BSS138,Q6,SOT-23_Handsoldering,
100k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
510,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
CUS10F30,D1,D_SOD-323_HandSoldering,
