Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.75,-139.928349,270.0,bottom
C2,10000uF,CP_Radial_D35.0mm_P10.00mm_SnapIn,149.5,-73.188501,90.0,top
D1,CUS10F30,D_SOD-323_HandSoldering,90.0,-135.75,180.0,bottom
D2,CUS10F30,D_SOD-323_HandSoldering,149.5,-72.619,90.0,bottom
F1,Fuse,Fuseholder_Blade_Mini_Keystone_3568,98.29,-72.55,180.0,top
J1,Conn_01x02_Female,Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical,89.25,-131.35,-90.0,top
J2,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,125.0,-134.249999,180.0,top
J3,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,125.0,-143.75,180.0,top
J4,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,138.5,-134.25,180.0,top
J5,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,138.5,-143.750001,180.0,top
J6,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,154.0,-97.25,-90.0,top
J7,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,163.5,-97.25,-90.0,top
J8,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,152.0,-134.25,180.0,top
J9,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,152.0,-143.75,180.0,top
J10,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,154.0,-123.75,-90.0,top
J11,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,163.5,-123.75,-90.0,top
J12,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,154.0,-110.5,-90.0,top
J13,Conn_01x02_Female,AMASS_XT30U-F_1x02_P5.0mm_Vertical,163.5,-110.5,-90.0,top
K1,RAYEX-L90,TRV4-L-12V-Z-F,103.25,-93.75,-90.0,top
MES1,Voltmeter_DC,SuperSmallVoltmeter_twoline,105.0,-118.05,0.0,top
Q1,TJ60S04M3L,TO-252-2,125.75,-105.15,180.0,top
Q2,TJ60S04M3L,TO-252-2,127.0,-94.15,90.0,top
Q3,TJ60S04M3L,TO-252-2,138.0,-95.4,0.0,top
Q4,TJ60S04M3L,TO-252-2,136.75,-106.65,-90.0,top
Q5,BSS138,SOT-23_Handsoldering,101.0,-139.928349,0.0,bottom
Q6,BSS138,SOT-23_Handsoldering,96.42,-139.0,270.0,bottom
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.3,-136.26,270.0,bottom
R2,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,106.0,-139.928349,270.0,bottom
R3,510,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.25,-139.928349,270.0,bottom
R4,510,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.75,-139.928349,90.0,bottom
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.5,-139.928349,270.0,bottom
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,99.47,-143.54,90.0,bottom
R7,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.5875,-86.75,180.0,top
SW1,SW_SPST,DS-850K-S-ON,105.0,-136.928349,90.0,top
