Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,112.08,-125.07,90.0,bottom
C2,0.1uF,C_0402_1005Metric,150.8,-113.29,0.0,bottom
C3,10uF,C_0805_2012Metric,154.32,-125.72,180.0,bottom
C4,0.1uF,C_0402_1005Metric,166.25,-134.57,180.0,bottom
C5,0.1uF,C_0402_1005Metric,164.35,-134.57,0.0,bottom
C6,0.1uF,C_0402_1005Metric,186.55,-126.57,0.0,bottom
C8,ADJ_ST,C_0603_1608Metric,150.55,-110.57,0.0,bottom
C9,1uF,C_0402_1005Metric,133.0,-115.97,90.0,bottom
C11,1uF,C_0402_1005Metric,140.319999,-94.32,0.0,bottom
C12,ADJ_ST,C_0603_1608Metric,181.55,-127.82,180.0,bottom
C13,1uF,C_0402_1005Metric,140.3,-106.07,270.0,bottom
C14,1uF,C_0402_1005Metric,150.3,-103.32,90.0,bottom
C15,22pF,C_0603_1608Metric,159.14,-106.53,180.0,bottom
C16,22pF,C_0603_1608Metric,163.93,-103.26,270.0,bottom
C17,22pF,C_0603_1608Metric,159.14,-109.63,180.0,bottom
C18,22pF,C_0603_1608Metric,159.14,-108.07,180.0,bottom
C19,1uF,C_0402_1005Metric,148.3,-101.32,90.0,bottom
C24,0.1uF,C_0402_1005Metric,164.71,-101.22,0.0,bottom
C25,0.1uF,C_0402_1005Metric,169.91,-95.58,90.0,bottom
C26,0.1uF,C_0402_1005Metric,178.12,-97.27,180.0,bottom
C27,0.1uF,C_0402_1005Metric,165.55,-103.07,90.0,bottom
C28,0.1uF,C_0402_1005Metric,179.3,-108.32,180.0,bottom
C29,0.1uF,C_0402_1005Metric,167.3,-109.57,0.0,bottom
C30,4.7uF,C_0603_1608Metric,175.89,-94.82,270.0,bottom
C31,1uF,C_0402_1005Metric,166.299999,-108.319999,0.0,bottom
C32,0.1uF,C_0402_1005Metric,180.74,-107.8,270.0,bottom
C33,0.1uF,C_0402_1005Metric,195.2,-109.62,0.0,bottom
C34,0.1uF,C_0402_1005Metric,150.19,-77.9,270.0,bottom
C35,0.1uF,C_0402_1005Metric,118.05,-77.57,0.0,bottom
C36,0.1uF,C_0402_1005Metric,110.17,-96.75,270.0,bottom
C37,0.1uF,C_0402_1005Metric,119.3,-85.32,180.0,bottom
D1,1N5819WS,D_SOD-323_HandSoldering,115.25,-98.19,270.0,bottom
D2,1N5819WS,D_SOD-323_HandSoldering,154.3,-114.32,90.0,bottom
D5,1N5819WS,D_SOD-323_HandSoldering,138.05,-89.81,180.0,bottom
D10,1N5819WS,D_SOD-323_HandSoldering,171.8,-120.82,270.0,bottom
D11,1N5819WS,D_SOD-323_HandSoldering,172.79,-126.21,0.0,bottom
D12,1N5819WS,D_SOD-323_HandSoldering,169.8,-120.82,270.0,bottom
D13,1N5819WS,D_SOD-323_HandSoldering,168.74,-126.2,180.0,bottom
D14,1N5819WS,D_SOD-323_HandSoldering,167.8,-120.82,270.0,bottom
D15,1N5819WS,D_SOD-323_HandSoldering,164.64,-126.07,180.0,bottom
D16,1N5819WS,D_SOD-323_HandSoldering,165.8,-120.82,270.0,bottom
D17,1N5819WS,D_SOD-323_HandSoldering,163.8,-120.82,270.0,bottom
D18,1N5819WS,D_SOD-323_HandSoldering,161.8,-120.82,270.0,bottom
D19,1N5819WS,D_SOD-323_HandSoldering,158.75,-121.87,180.0,bottom
D20,1N5819WS,D_SOD-323_HandSoldering,142.3,-100.32,90.0,bottom
D31,1N5819WS,D_SOD-323_HandSoldering,197.05,-89.07,0.0,bottom
D32,1N5819WS,D_SOD-323_HandSoldering,187.9875,-99.82,180.0,bottom
D33,1N5819WS,D_SOD-323_HandSoldering,185.56,-120.8,180.0,bottom
D34,1N5819WS,D_SOD-323_HandSoldering,187.9875,-96.32,180.0,bottom
D35,1N5819WS,D_SOD-323_HandSoldering,185.55,-117.76,180.0,bottom
D36,1N5819WS,D_SOD-323_HandSoldering,164.87,-83.41,180.0,bottom
D37,1N5819WS,D_SOD-323_HandSoldering,174.65,-85.89,0.0,bottom
D38,1N5819WS,D_SOD-323_HandSoldering,167.34,-94.31,180.0,bottom
D39,1N5819WS,D_SOD-323_HandSoldering,179.19,-94.26,0.0,bottom
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,158.05,-131.87,0.0,bottom
Q2,BSS138,SOT-23,111.3,-128.07,270.0,bottom
Q4,SSM3J332R,SOT-23W,147.05,-113.57,180.0,bottom
Q5,S8050,SOT-23,143.05,-117.07,0.0,bottom
Q6,SSM3J332R,SOT-23W,143.05,-113.57,0.0,bottom
Q7,S8050,SOT-23,139.05,-115.57,0.0,bottom
Q8,S8050,SOT-23,181.4,-80.07,270.0,bottom
Q9,SSM3J332R,SOT-23W,181.9,-83.82,180.0,bottom
Q10,SSM3J332R,SOT-23W,139.55,-96.82,90.0,bottom
Q11,S8050,SOT-23,184.9,-80.07,90.0,bottom
