Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,95.1,-112.55,90.0,top
C2,0.1uF,C_0402_1005Metric,95.1,-95.55,90.0,top
C3,0.1uF,C_0402_1005Metric,95.1,-109.15,90.0,top
C4,0.1uF,C_0402_1005Metric,95.1,-92.15,90.0,top
C5,0.1uF,C_0402_1005Metric,95.1,-105.75,90.0,top
C6,0.1uF,C_0402_1005Metric,95.1,-88.75,90.0,top
C7,0.1uF,C_0402_1005Metric,95.1,-102.35,90.0,top
C8,0.1uF,C_0402_1005Metric,95.1,-85.35,90.0,top
C9,0.1uF,C_0402_1005Metric,95.1,-98.95,90.0,top
C10,0.1uF,C_0402_1005Metric,95.1,-81.95,90.0,top
C11,0.1uF,C_0402_1005Metric,121.35,-115.58,180.0,top
C12,0.1uF,C_0402_1005Metric,131.35,-115.58,180.0,top
C13,0.1uF,C_0402_1005Metric,129.48,-77.7,180.0,top
C14,0.1uF,C_0402_1005Metric,141.35,-115.58,180.0,top
C15,10uF,C_0805_2012Metric,146.74,-94.12,-90.0,top
C16,10uF,C_0805_2012Metric,146.73,-97.63,-90.0,top
C17,0.1uF,C_0402_1005Metric,104.1,-106.55,0.0,top
C18,22uF,C_0805_2012Metric,157.24,-102.48,-90.0,top
C19,22uF,C_0805_2012Metric,151.069999,-102.26,180.0,top
C20,0.1uF,C_0402_1005Metric,104.1,-117.4,0.0,top
C21,22uF,C_0805_2012Metric,153.71,-110.6,-90.0,top
C22,22uF,C_0805_2012Metric,147.0,-108.93,0.0,top
D1,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-112.55,-90.0,top
D2,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-95.55,-90.0,top
D3,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-81.95,90.0,top
D4,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-98.95,90.0,top
D5,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-109.15,-90.0,top
D6,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-92.15,-90.0,top
D7,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-85.35,90.0,top
D8,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-102.35,90.0,top
D9,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-105.75,-90.0,top
D10,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-88.75,-90.0,top
D11,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-88.75,90.0,top
D12,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-105.75,90.0,top
D13,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-102.35,-90.0,top
D14,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-85.35,-90.0,top
D15,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-92.15,90.0,top
D16,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-109.15,90.0,top
D17,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-98.95,-90.0,top
D18,WS2812C-2020-V1,WS2812C-2020-V1,93.1,-81.95,-90.0,top
D19,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-95.55,90.0,top
D20,WS2812C-2020-V1,WS2812C-2020-V1,97.1,-112.55,90.0,top
Q1,S8050,SOT-23,85.1,-95.45,270.0,top
Q2,SSM3J332R,SOT-23W,88.85,-91.45,90.0,top
Q3,S8050,SOT-23,85.1,-91.45,270.0,top
R1,PullUP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.75,-76.2,-90.0,top
R2,PullUP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.15,-76.2,-90.0,top
R3,1k,R_0402_1005Metric,102.73,-79.85,0.0,top
R4,1k,R_0402_1005Metric,106.33,-79.85,180.0,top
R5,5.1k,R_0402_1005Metric,145.13,-95.44,90.0,top
R6,5.1k,R_0402_1005Metric,145.14,-98.38,90.0,top
R7,10k,R_0402_1005Metric,82.85,-95.45,90.0,top
R8,10k,R_0402_1005Metric,82.85,-91.45,90.0,top
R9,10k,R_0402_1005Metric,156.74,-105.22,90.0,top
R10,10k,R_0402_1005Metric,148.16,-103.67,-90.0,top
R11,30k,R_0603_1608Metric,157.03,-108.81,90.0,top
R12,10k,R_0603_1608Metric,158.01,-105.77,90.0,top
R13,30k,R_0603_1608Metric,147.93,-106.25,90.0,top
R14,10k,R_0603_1608Metric,146.87,-103.15,90.0,top
R15,47,R_0603_1608Metric,155.49,-110.39,-90.0,top
R16,47,R_0603_1608Metric,146.33,-106.29,-90.0,top
R17,1k,R_0402_1005Metric,158.31,-113.52,90.0,top
R18,1k,R_0402_1005Metric,149.72,-109.38,0.0,top
