Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,113.1875,-91.31,90.0,top
C2,4700pF,C_0603_1608Metric,138.53,-77.700001,90.0,top
C3,10uF,C_0805_2012Metric,125.67,-67.66,180.0,top
C4,0.1uF,C_0402_1005Metric,126.47,-66.06,0.0,top
C5,100pF,C_0603_1608Metric,135.8,-65.709999,-90.0,top
C6,0.1uF,C_0402_1005Metric,140.55,-76.71,180.0,top
C7,10uF,C_0805_2012Metric,148.020001,-92.36,180.0,top
C9,0.1uF,C_0402_1005Metric,104.71,-81.89,90.0,top
C10,10uF,C_0805_2012Metric,126.47,-91.21,-90.0,top
C12,1uF,C_0402_1005Metric,105.19,-76.78,0.0,top
C13,0.1uF,C_0402_1005Metric,105.2,-75.17,0.0,top
C14,1uF,C_0402_1005Metric,141.06,-56.06,90.0,top
C15,1uF,C_0402_1005Metric,135.66,-54.9,90.0,top
C19,0.1uF,C_0402_1005Metric,157.67,-57.94,0.0,top
C20,0.1uF,C_0402_1005Metric,92.95,-61.89,180.0,top
C22,0.1uF,C_0402_1005Metric,128.17,-90.96,90.0,top
D1,1N5819WS,D_SOD-323_HandSoldering,116.520001,-82.61,180.0,top
D9,1N5819WS,D_SOD-323_HandSoldering,151.75,-76.31,90.0,top
D11,1N5819WS,D_SOD-323_HandSoldering,138.33,-54.93,180.0,top
D13,1N5819WS,D_SOD-323_HandSoldering,131.45,-80.44,0.0,top
L1,2.2uH,ETQ-P4M_KVK,146.29175,-86.12,0.0,top
Q2,BSS138,SOT-23,112.7075,-88.56,180.0,top
Q14,S8050,SOT-23,102.7,-66.14,270.0,top
Q15,BSS138,SOT-23,153.730001,-54.249999,90.0,top
R1,10k,R_0402_1005Metric,80.47,-87.945,90.0,top
R2,10k,R_0402_1005Metric,80.47,-90.445,90.0,top
R3,10k,R_0402_1005Metric,111.1875,-91.31,90.0,top
R4,10k,R_0402_1005Metric,80.47,-92.945,90.0,top
R5,10k,R_0402_1005Metric,95.47,-91.95,180.0,top
R6,10k,R_0402_1005Metric,80.47,-95.445,90.0,top
R7,10k,R_0402_1005Metric,80.47,-97.945,90.0,top
R8,100k,R_0402_1005Metric,112.1875,-91.31,90.0,top
R9,10k,R_0402_1005Metric,114.1775,-91.32,90.0,top
R10,10k,R_0402_1005Metric,112.7075,-86.26,0.0,top
R11,33k,R_0603_1608Metric,118.83,-80.13,90.0,top
R12,10k,R_0603_1608Metric,118.83,-77.05,90.0,top
R13,1k,R_0402_1005Metric,81.72,-84.5,180.0,top
R14,1k,R_0402_1005Metric,90.72,-82.75,0.0,top
R15,1k,R_0402_1005Metric,90.72,-84.5,0.0,top
R16,1k,R_0402_1005Metric,81.72,-82.75,180.0,top
R17,1k,R_0402_1005Metric,125.38,-71.65,90.0,top
R18,10k,R_0402_1005Metric,95.34,-99.4,180.0,top
R20,510,R_0402_1005Metric,131.31,-77.71,90.0,top
R22,10k,R_0402_1005Metric,130.01,-77.69,90.0,top
R23,10,R_0603_1608Metric,132.57,-77.709999,90.0,top
R25,1.5k,R_0603_1608Metric,135.82,-77.735,90.0,top
R27,10k,R_0402_1005Metric,137.11,-77.18,90.0,top
R28,5.1k,R_0603_1608Metric,134.22,-77.735,-90.0,top
R29,1k,R_0402_1005Metric,141.47,-62.56,180.0,top
R30,10k,R_0402_1005Metric,142.24,-56.06,90.0,top
R34,10k,R_0402_1005Metric,134.55,-54.9,-90.0,top
R36,1k,R_0402_1005Metric,141.9325,-52.51,0.0,top
R38,7.5k,R_0603_1608Metric,142.58,-77.65,-90.0,top
R39,1k,R_0402_1005Metric,132.0625,-52.530001,180.0,top
R40,7.5k,R_0603_1608Metric,100.2,-67.215,-90.0,top
R41,10k,R_0402_1005Metric,153.31,-51.75,0.0,top
R42,20k,R_0402_1005Metric,100.2,-64.64,90.0,top
R43,10k,R_0402_1005Metric,153.260003,-56.83,180.0,top
R44,2.2k,R_0402_1005Metric,97.7,-60.64,180.0,top
R45,2.2k,R_0402_1005Metric,95.699999,-60.64,180.0,top
R46,120,R_0402_1005Metric,92.95,-62.89,0.0,top
R47,2k,R_0603_1608Metric,139.97,-67.67,180.0,top
R48,5.1k,R_0402_1005Metric,140.55,-78.660001,180.0,top
U1,MC34063AD,SOIC-8_3.9x4.9mm_P1.27mm,131.3,-66.76,90.0,top
U4,MAX3485,SOP-8_3.9x4.9mm_P1.27mm,96.7,-65.039999,0.0,top
U6,STM32G030K6T6,LQFP-32_7x7mm_P0.8mm,98.97,-76.37,90.0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,109.95,-75.25,0.0,top
