Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,215.02,-119.6,90.0,top
C2,4700pF,C_0603_1608Metric,160.74,-81.48,0.0,top
C3,10uF,C_0805_2012Metric,134.76,-91.87,-90.0,top
C4,0.1uF,C_0402_1005Metric,158.09,-81.73,0.0,top
C5,0.1uF,C_0402_1005Metric,127.84,-110.49,0.0,top
C6,0.1uF,C_0402_1005Metric,131.25,-111.18,-90.0,top
C7,ADJ_ST,C_0603_1608Metric,136.56,-92.11,-90.0,top
C8,10uF,C_0805_2012Metric,186.74,-87.52,90.0,top
C10,1uF,C_0402_1005Metric,159.291545,-71.71369,0.0,top
C11,1uF,C_0402_1005Metric,152.368926,-80.585,0.0,top
C12,1uF,C_0402_1005Metric,156.45,-82.22,90.0,top
C13,22uF,C_0805_2012Metric,155.77,-122.45,-90.0,top
C14,0.1uF,C_0402_1005Metric,154.7,-120.1,0.0,top
C15,0.1uF,C_0402_1005Metric,158.2,-93.05,0.0,top
C16,0.1uF,C_0402_1005Metric,154.24,-122.63,-90.0,top
C19,10uF,C_0805_2012Metric,149.69,-91.01,180.0,top
C21,0.1uF,C_0402_1005Metric,144.65,-71.25,90.0,top
C22,0.1uF,C_0402_1005Metric,144.53,-85.18,-90.0,top
C23,0.1uF,C_0402_1005Metric,144.56,-81.67,-90.0,top
C24,0.1uF,C_0402_1005Metric,144.65,-78.25,-90.0,top
C25,0.1uF,C_0402_1005Metric,144.65,-74.750001,-90.0,top
C26,0.1uF,C_0402_1005Metric,134.44,-72.01,90.0,top
C27,10uF,C_0805_2012Metric,186.630001,-103.230001,-90.0,top
C29,0.1uF,C_0402_1005Metric,184.620001,-104.470001,180.0,top
C30,100pF,C_0603_1608Metric,184.75,-113.36,180.0,top
C31,0.1uF,C_0402_1005Metric,183.740001,-90.330001,0.0,top
C34,10uF,C_0805_2012Metric,169.000001,-86.800001,0.0,top
D2,1N5819WS,D_SOD-323_HandSoldering,201.1,-89.95,0.0,top
D9,1N5819WS,D_SOD-323_HandSoldering,161.61,-69.73,90.0,top
D11,1N5819WS,D_SOD-323_HandSoldering,143.3,-92.55,0.0,top
D16,1N5819WS,D_SOD-323_HandSoldering,172.5,-120.5,0.0,top
D17,1N5819WS,D_SOD-323_HandSoldering,181.5,-124.75,-90.0,top
D18,WS2812C-2020-V1,WS2812C-2020-V1,142.65,-86.5,-90.0,top
D19,WS2812C-2020-V1,WS2812C-2020-V1,146.65,-72.5,90.0,top
D20,WS2812C-2020-V1,WS2812C-2020-V1,142.65,-83.0,-90.0,top
D21,WS2812C-2020-V1,WS2812C-2020-V1,146.650001,-76.0,90.0,top
D22,WS2812C-2020-V1,WS2812C-2020-V1,142.65,-79.5,-90.0,top
D23,WS2812C-2020-V1,WS2812C-2020-V1,146.65,-79.5,90.0,top
D24,WS2812C-2020-V1,WS2812C-2020-V1,142.649999,-76.0,-90.0,top
