Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,158.51,-58.35,270.0,bottom
C2,10uF,C_0805_2012Metric,135.29,-70.65,0.0,bottom
C3,1uF,C_0402_1005Metric,129.17,-77.850001,270.0,bottom
C4,1uF,C_0402_1005Metric,142.67,-77.83,270.0,bottom
C5,1uF,C_0402_1005Metric,128.62,-72.23,180.0,bottom
C6,1uF,C_0402_1005Metric,142.06,-72.21,180.0,bottom
C7,10uF,C_0805_2012Metric,115.11,-73.72,270.0,bottom
C8,0.1uF,C_0402_1005Metric,108.71,-82.12,270.0,bottom
C11,0.1uF,C_0402_1005Metric,99.86,-77.12,315.0,bottom
C12,1uF,C_0402_1005Metric,100.94,-78.29,315.0,bottom
C17,10uF,C_0805_2012Metric,167.21,-72.12,0.0,bottom
C18,10uF,C_0805_2012Metric,158.21,-72.12,0.0,bottom
C19,0.1uF,C_0402_1005Metric,152.61,-65.8375,0.0,bottom
C20,0.1uF,C_0402_1005Metric,119.734476,-95.427895,180.0,bottom
C21,0.1uF,C_0402_1005Metric,132.505,-94.298249,180.0,bottom
C22,0.1uF,C_0402_1005Metric,125.14,-87.745,90.0,bottom
C23,0.1uF,C_0402_1005Metric,125.16,-83.75,90.0,bottom
C24,0.1uF,C_0402_1005Metric,110.41,-65.21,180.0,bottom
C25,0.1uF,C_0402_1005Metric,127.86,-86.845,0.0,bottom
C26,0.1uF,C_0402_1005Metric,142.54,-85.755,0.0,bottom
C27,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,135.67,-84.845,90.0,bottom
C28,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,150.46,-83.495,90.0,bottom
C29,1uF,C_0402_1005Metric,154.73,-86.01,180.0,bottom
C30,0.1uF,C_0402_1005Metric,145.01,-93.48,180.0,bottom
D1,1N5819WS,D_SOD-323_HandSoldering,139.75,-70.62,180.0,bottom
D7,1N5819WS,D_SOD-323_HandSoldering,128.62,-74.82,90.0,bottom
D8,1N5819WS,D_SOD-323_HandSoldering,142.082,-74.772,90.0,bottom
D14,1N5819WS,D_SOD-323_HandSoldering,131.7,-67.25,90.0,bottom
Q2,BSS138,SOT-23,155.84,-59.29,180.0,bottom
Q14,BSS138,SOT-23,113.65,-86.615,180.0,bottom
Q15,BSS138,SOT-23,113.67,-83.04,180.0,bottom
Q16,S8050,SOT-23,101.64,-62.25,0.0,bottom
R1,10k,R_0402_1005Metric,95.42,-83.44,0.0,bottom
R2,10k,R_0402_1005Metric,95.38,-85.96,0.0,bottom
R3,10k,R_0402_1005Metric,95.38,-88.5,0.0,bottom
R4,10k,R_0402_1005Metric,94.32,-68.63,0.0,bottom
R5,10k,R_0402_1005Metric,95.36,-91.04,0.0,bottom
R6,10k,R_0402_1005Metric,95.38,-93.62,0.0,bottom
R7,10k,R_0402_1005Metric,161.11,-57.81,180.0,bottom
R8,100k,R_0402_1005Metric,159.56,-58.33,270.0,bottom
R9,10k,R_0402_1005Metric,158.99,-59.95,0.0,bottom
R10,10k,R_0402_1005Metric,153.18,-58.73,90.0,bottom
R11,33k,R_0603_1608Metric,127.02,-70.8,0.0,bottom
R12,10k,R_0603_1608Metric,123.685,-70.81,0.0,bottom
R13,1k,R_0402_1005Metric,95.68,-61.57,270.0,bottom
R14,1k,R_0402_1005Metric,96.76,-61.57,270.0,bottom
R15,1k,R_0402_1005Metric,97.82,-61.58,270.0,bottom
R16,1k,R_0402_1005Metric,94.6,-61.57,270.0,bottom
R17,10k,R_0402_1005Metric,141.59,-77.82,90.0,bottom
R18,10k,R_0402_1005Metric,118.19,-71.11,180.0,bottom
R19,10k,R_0402_1005Metric,128.14,-77.86,90.0,bottom
R31,1k,R_0402_1005Metric,134.42,-67.173884,0.0,bottom
R34,1k,R_0402_1005Metric,134.3675,-68.916385,0.0,bottom
R35,2.2k,R_0402_1005Metric,119.26,-91.88,270.0,bottom
R36,2.2k,R_0402_1005Metric,119.27,-93.9,270.0,bottom
R37,2.2k,R_0402_1005Metric,132.055,-90.738249,270.0,bottom
R38,2.2k,R_0402_1005Metric,132.055,-92.728249,270.0,bottom
R40,47,R_0603_1608Metric,110.86,-86.405,270.0,bottom
R41,47,R_0603_1608Metric,110.88,-83.255,270.0,bottom
R42,120,R_0402_1005Metric,120.33,-93.91,270.0,bottom
R43,120,R_0402_1005Metric,133.090525,-92.728249,270.0,bottom
R45,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.76,-59.2675,90.0,bottom
R47,10k,R_0402_1005Metric,112.7,-88.89,180.0,bottom
R48,10k,R_0402_1005Metric,112.68,-80.745,180.0,bottom
R49,7.5k,R_0603_1608Metric,101.759048,-59.72,0.0,bottom
R50,470,R_0402_1005Metric,114.64,-88.89,0.0,bottom
R51,470,R_0402_1005Metric,114.67,-80.765,0.0,bottom
R54,20k,R_0402_1005Metric,102.41,-64.9,180.0,bottom
R56,2.2k,R_0402_1005Metric,111.77,-60.64,270.0,bottom
R57,2.2k,R_0402_1005Metric,111.78,-62.57,270.0,bottom
R58,10k,R_0402_1005Metric,125.15,-85.735,270.0,bottom
R59,10k,R_0402_1005Metric,125.18,-81.72,90.0,bottom
